Node	Module
R4	2
C13	2
C48	3
R16	7
C47	7
R20	3
C6	3
C45	3
R21	3
C31	3
C32	3
C33	3
C46	3
C49	3
C50	3
C52	3
R22	3
C51	3
R23	3
R24	6
C8	6
R25	5
C61	5
R26	7
C21	7
R27	6
C30	6
C56	5
C57	6
R28	3
R29	5
R30	9
C16	9
R31	3
R32	9
C54	9
R33	1
C9	1
R34	0
C62	0
R35	5
C59	5
C63	5
R36	9
R37	5
C34	5
C36	5
C60	5
R38	4
C22	8
C23	4
C24	4
C25	4
C26	4
C27	4
C28	4
C29	4
C38	4
C39	2
C40	4
C41	4
C42	4
C43	4
C44	4
C53	4
C64	4
C65	4
C66	4
R39	5
R40	5
C35	5
C37	5
C55	5
C58	5
R41	8
C7	8
R42	1
C1	1
C2	1
C3	1
C4	1
C5	1
C10	1
C11	1
C12	1
C15	1
C17	1
C18	1
C19	1
C20	1
R43	7
R44	7
R45	2
C14	2
R46	8
R47	8
R48	1
R49	7
R50	4
