Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
1650	-1589.474	-1589.976	0.5014967	0.02619299	1.53916	1.53916	0.03196588	0.9680341	1e-06	0.0319659	1e-06	1e-06	0.968034	1e-06	0.0319659	0.968034
1700	-1408.35	-1407.062	-1.287505	0.01960666	3.39402	3.39402	0.0305992	0.9694008	1e-06	0.0305992	1e-06	1e-06	0.969401	1e-06	0.0305992	0.969401
1750	-1511.323	-1511.732	0.4092336	0.02499527	1.6434	1.6434	0.03571736	0.9642826	1e-06	0.0357174	1e-06	1e-06	0.964283	1e-06	0.0357174	0.964283
1800	-1571.874	-1573.769	1.894796	0.02626078	0.145181	0.145181	0.02686409	0.9731359	1e-06	0.0268641	1e-06	1e-06	0.973136	1e-06	0.0268641	0.973136
1850	-1535.413	-1534.36	-1.053806	0.02194968	3.13689	3.13689	0.03379067	0.9662093	1e-06	0.0337907	1e-06	1e-06	0.966209	1e-06	0.0337907	0.966209
1900	-1626.74	-1627.544	0.8048326	0.02599025	1.23785	1.23785	0.02526926	0.9747307	1e-06	0.0252693	1e-06	1e-06	0.974731	1e-06	0.0252693	0.974731
1950	-1346.519	-1347.577	1.05842	0.01872839	1.05688	1.05688	0.03022338	0.9697766	1e-06	0.0302234	1e-06	1e-06	0.969777	1e-06	0.0302234	0.969777
2000	-1334.714	-1334.445	-0.2686594	0.01963725	2.37487	2.37487	0.03316163	0.9668384	1e-06	0.0331616	1e-06	1e-06	0.966838	1e-06	0.0331616	0.966838
2050	-1257.837	-1258.676	0.8396434	0.02288218	1.23412	1.23412	0.03413344	0.9658666	1e-06	0.0341334	1e-06	1e-06	0.965867	1e-06	0.0341334	0.965867
2100	-1671.167	-1670.183	-0.9839833	0.02724625	3.01411	3.01411	0.02808352	0.9719165	1e-06	0.0280835	1e-06	1e-06	0.971916	1e-06	0.0280835	0.971916
2150	-1403.678	-1404.108	0.430121	0.02441143	1.62835	1.62835	0.0258594	0.9741406	1e-06	0.0258594	1e-06	1e-06	0.974141	1e-06	0.0258594	0.974141
2200	-1422.553	-1423.533	0.9799255	0.0262615	1.06004	1.06004	0.02481885	0.9751811	1e-06	0.0248189	1e-06	1e-06	0.975181	1e-06	0.0248189	0.975181
2250	-1345.279	-1344.872	-0.4071842	0.0242819	2.46695	2.46695	0.03311032	0.9668897	1e-06	0.0331103	1e-06	1e-06	0.96689	1e-06	0.0331103	0.96689
2300	-1387.303	-1388.024	0.7210159	0.02003576	1.38121	1.38121	0.028177	0.971823	1e-06	0.028177	1e-06	1e-06	0.971823	1e-06	0.028177	0.971823
2350	-1370.096	-1368.995	-1.10164	0.01992561	3.20497	3.20497	0.03791178	0.9620882	1e-06	0.0379118	1e-06	1e-06	0.962088	1e-06	0.0379118	0.962088
2400	-1289.217	-1287.402	-1.815237	0.02460892	3.87173	3.87173	0.02341955	0.9765805	1e-06	0.0234195	1e-06	1e-06	0.97658	1e-06	0.0234195	0.97658
2450	-1563.459	-1564.424	0.9647447	0.02373651	1.10048	1.10048	0.02823168	0.9717683	1e-06	0.0282317	1e-06	1e-06	0.971768	1e-06	0.0282317	0.971768
2500	-1447.141	-1445.672	-1.469166	0.02267195	3.54503	3.54503	0.03410536	0.9658946	1e-06	0.0341054	1e-06	1e-06	0.965895	1e-06	0.0341054	0.965895
2550	-1552.495	-1553.446	0.9516255	0.02476845	1.10328	1.10328	0.02619239	0.9738076	1e-06	0.0261924	1e-06	1e-06	0.973808	1e-06	0.0261924	0.973808
2600	-1388.158	-1389.757	1.599424	0.02372203	0.465941	0.465941	0.02930226	0.9706977	1e-06	0.0293023	1e-06	1e-06	0.970698	1e-06	0.0293023	0.970698
2650	-1498.605	-1499.264	0.6582878	0.02322321	1.41207	1.41207	0.03172786	0.9682721	1e-06	0.0317279	1e-06	1e-06	0.968272	1e-06	0.0317279	0.968272
2700	-1488.183	-1485.803	-2.380423	0.02659132	4.4171	4.4171	0.02325994	0.9767401	1e-06	0.0232599	1e-06	1e-06	0.97674	1e-06	0.0232599	0.97674
2750	-1717.171	-1716.637	-0.53431	0.02782182	2.55868	2.55868	0.03849324	0.9615068	1e-06	0.0384932	1e-06	1e-06	0.961507	1e-06	0.0384932	0.961507
2800	-1419.131	-1418.345	-0.7865974	0.02066538	2.88253	2.88253	0.02842399	0.971576	1e-06	0.028424	1e-06	1e-06	0.971576	1e-06	0.028424	0.971576
2850	-1328.936	-1327.81	-1.126579	0.0220614	3.20855	3.20855	0.03085525	0.9691448	1e-06	0.0308552	1e-06	1e-06	0.969145	1e-06	0.0308552	0.969145
2900	-1349.971	-1350.888	0.9172972	0.02349052	1.15038	1.15038	0.02821271	0.9717873	1e-06	0.0282127	1e-06	1e-06	0.971787	1e-06	0.0282127	0.971787
2950	-1449.16	-1450.843	1.68272	0.02534686	0.366396	0.366396	0.03057685	0.9694232	1e-06	0.0305768	1e-06	1e-06	0.969423	1e-06	0.0305768	0.969423
3000	-1399.399	-1401.177	1.778374	0.02457704	0.278441	0.278441	0.02340944	0.9765906	1e-06	0.0234094	1e-06	1e-06	0.976591	1e-06	0.0234094	0.976591
3050	-1556.887	-1557.55	0.6629271	0.02375788	1.40208	1.40208	0.03196701	0.968033	1e-06	0.031967	1e-06	1e-06	0.968033	1e-06	0.031967	0.968033
3100	-1205.535	-1203.975	-1.560402	0.02177572	3.64523	3.64523	0.02386369	0.9761363	1e-06	0.0238637	1e-06	1e-06	0.976136	1e-06	0.0238637	0.976136
3150	-1306.832	-1306.096	-0.7363765	0.02091116	2.82985	2.82985	0.02406981	0.9759302	1e-06	0.0240698	1e-06	1e-06	0.97593	1e-06	0.0240698	0.97593
3200	-1289.945	-1289.666	-0.2782998	0.02252442	2.35564	2.35564	0.02584838	0.9741516	1e-06	0.0258484	1e-06	1e-06	0.974152	1e-06	0.0258484	0.974152
3250	-1447.107	-1447.485	0.3785614	0.02500951	1.67393	1.67393	0.02871256	0.9712874	1e-06	0.0287126	1e-06	1e-06	0.971287	1e-06	0.0287126	0.971287
3300	-1309.633	-1310.917	1.284353	0.02582222	0.76001	0.76001	0.02280847	0.9771915	1e-06	0.0228085	1e-06	1e-06	0.977192	1e-06	0.0228085	0.977192
3350	-1293.932	-1293.677	-0.2551656	0.02528013	2.30495	2.30495	0.02340976	0.9765902	1e-06	0.0234098	1e-06	1e-06	0.97659	1e-06	0.0234098	0.97659
3400	-1569.18	-1568.961	-0.2187417	0.0256837	2.26449	2.26449	0.02883872	0.9711613	1e-06	0.0288387	1e-06	1e-06	0.971161	1e-06	0.0288387	0.971161
3450	-1584.711	-1583.362	-1.349372	0.02884223	3.36353	3.36353	0.02880251	0.9711975	1e-06	0.0288025	1e-06	1e-06	0.971197	1e-06	0.0288025	0.971197
3500	-1265.654	-1265.617	-0.03697658	0.02249094	2.11465	2.11465	0.02333159	0.9766684	1e-06	0.0233316	1e-06	1e-06	0.976668	1e-06	0.0233316	0.976668
3550	-1383.398	-1384.439	1.040469	0.0213336	1.04878	1.04878	0.0277989	0.9722011	1e-06	0.0277989	1e-06	1e-06	0.972201	1e-06	0.0277989	0.972201
3600	-1257.919	-1258.443	0.5235788	0.02191953	1.55981	1.55981	0.02042247	0.9795775	1e-06	0.0204225	1e-06	1e-06	0.979578	1e-06	0.0204225	0.979578
3650	-1446.267	-1444.536	-1.730671	0.02707445	3.76251	3.76251	0.02500035	0.9749996	1e-06	0.0250004	1e-06	1e-06	0.975	1e-06	0.0250004	0.975
3700	-1421.886	-1422.958	1.072477	0.02373735	0.992735	0.992735	0.0289104	0.9710896	1e-06	0.0289104	1e-06	1e-06	0.97109	1e-06	0.0289104	0.97109
3750	-1270.493	-1270.992	0.4991322	0.01970191	1.60643	1.60643	0.02929571	0.9707043	1e-06	0.0292957	1e-06	1e-06	0.970704	1e-06	0.0292957	0.970704
3800	-1313.07	-1313.279	0.2094004	0.02312123	1.86197	1.86197	0.02831026	0.9716897	1e-06	0.0283103	1e-06	1e-06	0.97169	1e-06	0.0283103	0.97169
3850	-1399.362	-1398.012	-1.349869	0.02472212	3.40523	3.40523	0.02924103	0.970759	1e-06	0.029241	1e-06	1e-06	0.970759	1e-06	0.029241	0.970759
3900	-1362.688	-1360.592	-2.09646	0.02254559	4.17359	4.17359	0.02985287	0.9701471	1e-06	0.0298529	1e-06	1e-06	0.970147	1e-06	0.0298529	0.970147
3950	-1259.666	-1259.426	-0.2398886	0.01918869	2.35059	2.35059	0.03155439	0.9684456	1e-06	0.0315544	1e-06	1e-06	0.968446	1e-06	0.0315544	0.968446
4000	-1402.324	-1402.692	0.3682725	0.02386144	1.6957	1.6957	0.02845536	0.9715446	1e-06	0.0284554	1e-06	1e-06	0.971545	1e-06	0.0284554	0.971545
4050	-1300.471	-1299.876	-0.594996	0.02346819	2.6629	2.6629	0.03515648	0.9648435	1e-06	0.0351565	1e-06	1e-06	0.964844	1e-06	0.0351565	0.964844
4100	-1310.423	-1309.559	-0.8638056	0.02334409	2.93295	2.93295	0.03014139	0.9698586	1e-06	0.0301414	1e-06	1e-06	0.969859	1e-06	0.0301414	0.969859
4150	-1426.539	-1428.416	1.876795	0.02455027	0.180288	0.180288	0.02290516	0.9770948	1e-06	0.0229052	1e-06	1e-06	0.977095	1e-06	0.0229052	0.977095
4200	-1224.217	-1226.127	1.910403	0.02302143	0.161968	0.161968	0.02149988	0.9785001	1e-06	0.0214999	1e-06	1e-06	0.9785	1e-06	0.0214999	0.9785
4250	-1260.371	-1260.83	0.4592989	0.02127748	1.63051	1.63051	0.03207916	0.9679208	1e-06	0.0320792	1e-06	1e-06	0.967921	1e-06	0.0320792	0.967921
4300	-1127.66	-1126.508	-1.151533	0.0171633	3.28249	3.28249	0.02892882	0.9710712	1e-06	0.0289288	1e-06	1e-06	0.971071	1e-06	0.0289288	0.971071
4350	-1149.313	-1149.503	0.1897496	0.02343578	1.87848	1.87848	0.02465874	0.9753413	1e-06	0.0246587	1e-06	1e-06	0.975341	1e-06	0.0246587	0.975341
4400	-1350.351	-1351.405	1.054321	0.02118591	1.0364	1.0364	0.03249147	0.9675085	1e-06	0.0324915	1e-06	1e-06	0.967509	1e-06	0.0324915	0.967509
4450	-1188.865	-1188.143	-0.7228085	0.02164908	2.8089	2.8089	0.02921198	0.970788	1e-06	0.029212	1e-06	1e-06	0.970788	1e-06	0.029212	0.970788
4500	-1191.656	-1191.851	0.1947132	0.01908738	1.917	1.917	0.03665244	0.9633476	1e-06	0.0366524	1e-06	1e-06	0.963348	1e-06	0.0366524	0.963348
4550	-1325.521	-1325.953	0.4315149	0.0199733	1.67134	1.67134	0.04305314	0.9569469	1e-06	0.0430531	1e-06	1e-06	0.956947	1e-06	0.0430531	0.956947
4600	-1205.426	-1206.661	1.235242	0.01924592	0.874884	0.874884	0.03111983	0.9688802	1e-06	0.0311198	1e-06	1e-06	0.96888	1e-06	0.0311198	0.96888
4650	-1292.692	-1291.286	-1.406213	0.02033934	3.5054	3.5054	0.03265591	0.9673441	1e-06	0.0326559	1e-06	1e-06	0.967344	1e-06	0.0326559	0.967344
4700	-1283.205	-1282.145	-1.05936	0.0210154	3.15179	3.15179	0.03943237	0.9605676	1e-06	0.0394324	1e-06	1e-06	0.960568	1e-06	0.0394324	0.960568
4750	-1390.848	-1390.952	0.1035822	0.02226763	1.97633	1.97633	0.02917654	0.9708235	1e-06	0.0291765	1e-06	1e-06	0.970823	1e-06	0.0291765	0.970823
4800	-1278.915	-1280.299	1.383554	0.01818615	0.737169	0.737169	0.04874449	0.9512555	1e-06	0.0487445	1e-06	1e-06	0.951256	1e-06	0.0487445	0.951256
4850	-1392.466	-1394.312	1.845787	0.02241453	0.232653	0.232653	0.02905345	0.9709465	1e-06	0.0290535	1e-06	1e-06	0.970947	1e-06	0.0290535	0.970947
4900	-1386.021	-1385.327	-0.6940044	0.02435516	2.75304	2.75304	0.03439641	0.9656036	1e-06	0.0343964	1e-06	1e-06	0.965604	1e-06	0.0343964	0.965604
4950	-1310.008	-1308.939	-1.069087	0.02197767	3.1519	3.1519	0.033394	0.966606	1e-06	0.033394	1e-06	1e-06	0.966606	1e-06	0.033394	0.966606
5000	-1361.364	-1361.166	-0.1981001	0.02846438	2.21604	2.21604	0.02370155	0.9762985	1e-06	0.0237015	1e-06	1e-06	0.976298	1e-06	0.0237015	0.976298
5050	-1378.747	-1379.092	0.344864	0.02296737	1.72805	1.72805	0.0284464	0.9715536	1e-06	0.0284464	1e-06	1e-06	0.971554	1e-06	0.0284464	0.971554
5100	-1450.659	-1449.069	-1.589457	0.02593062	3.63274	3.63274	0.03712517	0.9628748	1e-06	0.0371252	1e-06	1e-06	0.962875	1e-06	0.0371252	0.962875
5150	-1274.102	-1274.013	-0.08910248	0.02044153	2.18727	2.18727	0.02636578	0.9736342	1e-06	0.0263658	1e-06	1e-06	0.973634	1e-06	0.0263658	0.973634
5200	-1305.468	-1306.421	0.9522947	0.02049884	1.1453	1.1453	0.02440229	0.9755977	1e-06	0.0244023	1e-06	1e-06	0.975598	1e-06	0.0244023	0.975598
