Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-15304.53	-15305.6	1.067534	0.05633278	0.671723	0.671723	0.394277	0.605723	1e-06	0.394277	1e-06	1e-06	0.605723	1e-06	0.394277	0.605723
50	-11658.24	-11658.08	-0.1597755	0.08476828	1.61468	1.61468	0.106134	0.893866	1e-06	0.106134	1e-06	1e-06	0.893866	1e-06	0.106134	0.893866
100	-10905.37	-10906.38	1.009623	0.0874656	0.418306	0.418306	0.09725139	0.9027486	1e-06	0.0972514	1e-06	1e-06	0.902749	1e-06	0.0972514	0.902749
150	-10593.15	-10593.26	0.1112148	0.09599269	1.23144	1.23144	0.09486052	0.9051395	1e-06	0.0948605	1e-06	1e-06	0.905139	1e-06	0.0948605	0.905139
200	-10143.61	-10144.81	1.198284	0.08628714	0.241429	0.241429	0.09255298	0.907447	1e-06	0.092553	1e-06	1e-06	0.907447	1e-06	0.092553	0.907447
250	-9563.764	-9565.102	1.337272	0.0816568	0.148745	0.148745	0.08705338	0.9129466	1e-06	0.0870534	1e-06	1e-06	0.912947	1e-06	0.0870534	0.912947
300	-9542.642	-9544.031	1.388721	0.08500349	0.0638295	0.0638295	0.08742462	0.9125754	1e-06	0.0874246	1e-06	1e-06	0.912575	1e-06	0.0874246	0.912575
350	-9108.672	-9109.716	1.043255	0.08240953	0.435235	0.435235	0.08481188	0.9151881	1e-06	0.0848119	1e-06	1e-06	0.915188	1e-06	0.0848119	0.915188
400	-9215.772	-9215.89	0.1176058	0.08536881	1.33129	1.33129	0.0846956	0.9153044	1e-06	0.0846956	1e-06	1e-06	0.915304	1e-06	0.0846956	0.915304
450	-8857.051	-8856.814	-0.2376283	0.08421981	1.69802	1.69802	0.08271075	0.9172893	1e-06	0.0827107	1e-06	1e-06	0.917289	1e-06	0.0827107	0.917289
500	-8935.821	-8936.897	1.0756	0.08606173	0.366368	0.366368	0.07564065	0.9243593	1e-06	0.0756407	1e-06	1e-06	0.924359	1e-06	0.0756407	0.924359
550	-8956.891	-8957.074	0.1832015	0.08962326	1.22315	1.22315	0.08062896	0.919371	1e-06	0.080629	1e-06	1e-06	0.919371	1e-06	0.080629	0.919371
600	-8474.123	-8474.414	0.2910882	0.08161169	1.19538	1.19538	0.07343201	0.926568	1e-06	0.073432	1e-06	1e-06	0.926568	1e-06	0.073432	0.926568
650	-8194.238	-8194.885	0.6471975	0.0821214	0.834174	0.834174	0.07259321	0.9274068	1e-06	0.0725932	1e-06	1e-06	0.927407	1e-06	0.0725932	0.927407
700	-7499.043	-7500.008	0.9652901	0.07506219	0.586673	0.586673	0.06555416	0.9344458	1e-06	0.0655542	1e-06	1e-06	0.934446	1e-06	0.0655542	0.934446
750	-7039.003	-7039.174	0.1712582	0.07495168	1.38181	1.38181	0.06072599	0.939274	1e-06	0.060726	1e-06	1e-06	0.939274	1e-06	0.060726	0.939274
800	-6323.282	-6324.59	1.308023	0.0633879	0.360683	0.360683	0.05472609	0.9452739	1e-06	0.0547261	1e-06	1e-06	0.945274	1e-06	0.0547261	0.945274
850	-5953.621	-5952.794	-0.8269943	0.0634394	2.49519	2.49519	0.05577359	0.9442264	1e-06	0.0557736	1e-06	1e-06	0.944226	1e-06	0.0557736	0.944226
900	-5878.16	-5877.063	-1.097355	0.06275276	2.77241	2.77241	0.05369415	0.9463059	1e-06	0.0536941	1e-06	1e-06	0.946306	1e-06	0.0536941	0.946306
950	-5838.447	-5836.804	-1.64265	0.06006336	3.3446	3.3446	0.06162088	0.9383791	1e-06	0.0616209	1e-06	1e-06	0.938379	1e-06	0.0616209	0.938379
1000	-5369.213	-5370.043	0.8299216	0.05643062	0.908357	0.908357	0.05727542	0.9427246	1e-06	0.0572754	1e-06	1e-06	0.942725	1e-06	0.0572754	0.942725
1050	-5113.197	-5114.068	0.8712137	0.05650113	0.86636	0.86636	0.04760408	0.9523959	1e-06	0.0476041	1e-06	1e-06	0.952396	1e-06	0.0476041	0.952396
1100	-4848.185	-4847.668	-0.5167288	0.05353761	2.28394	2.28394	0.04332077	0.9566792	1e-06	0.0433208	1e-06	1e-06	0.956679	1e-06	0.0433208	0.956679
1150	-4706.335	-4705.793	-0.5418197	0.05303634	2.31404	2.31404	0.03905542	0.9609446	1e-06	0.0390554	1e-06	1e-06	0.960945	1e-06	0.0390554	0.960945
1200	-4561.987	-4561.332	-0.6543481	0.05132454	2.44369	2.44369	0.04765775	0.9523423	1e-06	0.0476577	1e-06	1e-06	0.952342	1e-06	0.0476577	0.952342
1250	-4570.388	-4569.616	-0.7714255	0.05118562	2.56215	2.56215	0.04865955	0.9513405	1e-06	0.0486595	1e-06	1e-06	0.95134	1e-06	0.0486595	0.95134
1300	-4309.862	-4308.357	-1.504492	0.04999165	3.30716	3.30716	0.04281393	0.9571861	1e-06	0.0428139	1e-06	1e-06	0.957186	1e-06	0.0428139	0.957186
1350	-4080.484	-4080.318	-0.1662719	0.04682322	2.00062	2.00062	0.0417655	0.9582345	1e-06	0.0417655	1e-06	1e-06	0.958234	1e-06	0.0417655	0.958234
1400	-4049.159	-4050.303	1.143376	0.05045558	0.654653	0.654653	0.0373806	0.9626194	1e-06	0.0373806	1e-06	1e-06	0.962619	1e-06	0.0373806	0.962619
1450	-4084.656	-4086.286	1.629509	0.04464921	0.226584	0.226584	0.04160557	0.9583944	1e-06	0.0416056	1e-06	1e-06	0.958394	1e-06	0.0416056	0.958394
1500	-4283.201	-4283.463	0.2624787	0.0525942	1.51416	1.51416	0.04449847	0.9555015	1e-06	0.0444985	1e-06	1e-06	0.955502	1e-06	0.0444985	0.955502
1550	-4355.326	-4356.435	1.109046	0.05399963	0.653543	0.653543	0.03780969	0.9621903	1e-06	0.0378097	1e-06	1e-06	0.96219	1e-06	0.0378097	0.96219
1600	-4145.972	-4145.764	-0.2080721	0.05322959	1.97836	1.97836	0.04211543	0.9578846	1e-06	0.0421154	1e-06	1e-06	0.957885	1e-06	0.0421154	0.957885
1650	-4172.508	-4173.132	0.6248109	0.0483481	1.19429	1.19429	0.04169828	0.9583017	1e-06	0.0416983	1e-06	1e-06	0.958302	1e-06	0.0416983	0.958302
1700	-4202.492	-4203.59	1.098161	0.04985989	0.705825	0.705825	0.04123526	0.9587647	1e-06	0.0412353	1e-06	1e-06	0.958765	1e-06	0.0412353	0.958765
1750	-4202.326	-4202.944	0.6178821	0.05392064	1.1455	1.1455	0.04056872	0.9594313	1e-06	0.0405687	1e-06	1e-06	0.959431	1e-06	0.0405687	0.959431
1800	-4078.336	-4078.778	0.4421927	0.04832573	1.37714	1.37714	0.03850709	0.9614929	1e-06	0.0385071	1e-06	1e-06	0.961493	1e-06	0.0385071	0.961493
1850	-3955.642	-3956.518	0.8756664	0.05168493	0.910069	0.910069	0.03926838	0.9607316	1e-06	0.0392684	1e-06	1e-06	0.960732	1e-06	0.0392684	0.960732
1900	-3766.236	-3767.549	1.312942	0.04906085	0.499034	0.499034	0.04032525	0.9596747	1e-06	0.0403253	1e-06	1e-06	0.959675	1e-06	0.0403253	0.959675
1950	-3425.995	-3426.789	0.7942244	0.04367179	1.07164	1.07164	0.03540701	0.964593	1e-06	0.035407	1e-06	1e-06	0.964593	1e-06	0.035407	0.964593
2000	-3629.349	-3631.034	1.684943	0.04654035	0.152238	0.152238	0.03633145	0.9636685	1e-06	0.0363315	1e-06	1e-06	0.963669	1e-06	0.0363315	0.963669
2050	-3587.545	-3588.976	1.431203	0.04666358	0.404747	0.404747	0.03231766	0.9676823	1e-06	0.0323177	1e-06	1e-06	0.967682	1e-06	0.0323177	0.967682
2100	-3751.288	-3753.075	1.787682	0.04553559	0.0595472	0.0595472	0.03577859	0.9642214	1e-06	0.0357786	1e-06	1e-06	0.964221	1e-06	0.0357786	0.964221
2150	-3390.011	-3391.825	1.814504	0.04076455	0.0804355	0.0804355	0.03610755	0.9638924	1e-06	0.0361076	1e-06	1e-06	0.963892	1e-06	0.0361076	0.963892
2200	-3421.609	-3423.122	1.513359	0.04779838	0.311242	0.311242	0.02604166	0.9739583	1e-06	0.0260417	1e-06	1e-06	0.973958	1e-06	0.0260417	0.973958
2250	-3414.586	-3416.028	1.44202	0.04091747	0.45139	0.45139	0.0362287	0.9637713	1e-06	0.0362287	1e-06	1e-06	0.963771	1e-06	0.0362287	0.963771
2300	-3172.351	-3174.216	1.864278	0.04186522	0.0196548	0.0196548	0.03116942	0.9688306	1e-06	0.0311694	1e-06	1e-06	0.968831	1e-06	0.0311694	0.968831
2350	-3223.499	-3223.334	-0.1652381	0.04111567	2.05667	2.05667	0.03229836	0.9677016	1e-06	0.0322984	1e-06	1e-06	0.967702	1e-06	0.0322984	0.967702
2400	-3269.278	-3270.227	0.9492177	0.04137709	0.939597	0.939597	0.03520004	0.9648	1e-06	0.0352	1e-06	1e-06	0.9648	1e-06	0.0352	0.9648
