Iteration	Posterior	Likelihood	Prior	clock_host	phy_scale[1]	phy_scale[2]	switch_rate_0_to_2	switch_rate_2_to_0	switch_rates[1]	switch_rates[2]	switch_rates[3]	switch_rates[4]	switch_rates[5]	switch_rates[6]	switch_rates_pos[1]	switch_rates_pos[2]
0	-15220.59	-15221.66	1.067534	0.05633278	0.671723	0.671723	0.394277	0.605723	1e-06	0.394277	1e-06	1e-06	0.605723	1e-06	0.394277	0.605723
50	-12278.27	-12279.43	1.157934	0.09240662	0.220585	0.220585	0.1063923	0.8936077	1e-06	0.106392	1e-06	1e-06	0.893608	1e-06	0.106392	0.893608
100	-11662.75	-11663.97	1.219387	0.09442991	0.138899	0.138899	0.09556794	0.9044321	1e-06	0.0955679	1e-06	1e-06	0.904432	1e-06	0.0955679	0.904432
150	-11279.44	-11280.49	1.050025	0.09155723	0.336988	0.336988	0.09962619	0.9003738	1e-06	0.0996262	1e-06	1e-06	0.900374	1e-06	0.0996262	0.900374
200	-10667.82	-10668.42	0.6016362	0.0961874	0.739075	0.739075	0.08875744	0.9112426	1e-06	0.0887574	1e-06	1e-06	0.911243	1e-06	0.0887574	0.911243
250	-10215.17	-10215.96	0.790628	0.08728787	0.639078	0.639078	0.09277678	0.9072232	1e-06	0.0927768	1e-06	1e-06	0.907223	1e-06	0.0927768	0.907223
300	-9567.574	-9568.522	0.9479096	0.08557193	0.498956	0.498956	0.08398017	0.9160198	1e-06	0.0839802	1e-06	1e-06	0.91602	1e-06	0.0839802	0.91602
350	-9325.926	-9326.773	0.8477378	0.08683032	0.586544	0.586544	0.0772289	0.9227711	1e-06	0.0772289	1e-06	1e-06	0.922771	1e-06	0.0772289	0.922771
400	-8904.858	-8905.551	0.693369	0.08437945	0.765422	0.765422	0.07854009	0.9214599	1e-06	0.0785401	1e-06	1e-06	0.92146	1e-06	0.0785401	0.92146
450	-8566.75	-8567.643	0.8928465	0.07875368	0.622202	0.622202	0.08135809	0.9186419	1e-06	0.0813581	1e-06	1e-06	0.918642	1e-06	0.0813581	0.918642
500	-8374.069	-8374.707	0.6387847	0.08160754	0.847725	0.847725	0.07600019	0.9239998	1e-06	0.0760002	1e-06	1e-06	0.924	1e-06	0.0760002	0.924
550	-7936.373	-7937.081	0.7075714	0.08053359	0.789678	0.789678	0.06518686	0.9348131	1e-06	0.0651869	1e-06	1e-06	0.934813	1e-06	0.0651869	0.934813
600	-7336.834	-7337.462	0.6287143	0.07718373	0.902033	0.902033	0.05952263	0.9404774	1e-06	0.0595226	1e-06	1e-06	0.940477	1e-06	0.0595226	0.940477
650	-7330.815	-7331.415	0.5996024	0.07496601	0.953323	0.953323	0.06118692	0.9388131	1e-06	0.0611869	1e-06	1e-06	0.938813	1e-06	0.0611869	0.938813
700	-7535.887	-7536.397	0.5097428	0.0797398	0.995444	0.995444	0.06543529	0.9345647	1e-06	0.0654353	1e-06	1e-06	0.934565	1e-06	0.0654353	0.934565
750	-7237.536	-7237.883	0.3470627	0.07220221	1.2335	1.2335	0.06458317	0.9354168	1e-06	0.0645832	1e-06	1e-06	0.935417	1e-06	0.0645832	0.935417
800	-7289.806	-7290.346	0.5396795	0.07090044	1.0539	1.0539	0.06738043	0.9326196	1e-06	0.0673804	1e-06	1e-06	0.93262	1e-06	0.0673804	0.93262
850	-7115.588	-7116.789	1.20183	0.07249141	0.375841	0.375841	0.06717662	0.9328234	1e-06	0.0671766	1e-06	1e-06	0.932823	1e-06	0.0671766	0.932823
900	-6687.961	-6688.677	0.7160099	0.06574855	0.92909	0.92909	0.05859722	0.9414028	1e-06	0.0585972	1e-06	1e-06	0.941403	1e-06	0.0585972	0.941403
950	-6815.733	-6816.378	0.6445248	0.06838449	0.974215	0.974215	0.06090612	0.9390939	1e-06	0.0609061	1e-06	1e-06	0.939094	1e-06	0.0609061	0.939094
1000	-6179.622	-6180.388	0.7664812	0.06162347	0.919869	0.919869	0.05654603	0.943454	1e-06	0.056546	1e-06	1e-06	0.943454	1e-06	0.056546	0.943454
1050	-5786.67	-5787.46	0.790115	0.06544809	0.857989	0.857989	0.05133566	0.9486643	1e-06	0.0513357	1e-06	1e-06	0.948664	1e-06	0.0513357	0.948664
1100	-5471.791	-5472.892	1.101021	0.05911059	0.610458	0.610458	0.05382073	0.9461793	1e-06	0.0538207	1e-06	1e-06	0.946179	1e-06	0.0538207	0.946179
1150	-5405.421	-5406.323	0.9017517	0.05880729	0.812761	0.812761	0.04552737	0.9544726	1e-06	0.0455274	1e-06	1e-06	0.954473	1e-06	0.0455274	0.954473
1200	-5072.299	-5073.102	0.8035691	0.05523363	0.94668	0.94668	0.04468639	0.9553136	1e-06	0.0446864	1e-06	1e-06	0.955314	1e-06	0.0446864	0.955314
